company,prefer,location,url,tool
쿠팡,"2. Relevant working experience in retail/e-commerce business (nice to have)
3. Experience with data analytics tools such as relevant Python libraries, Spark, R as well as engineering tools such as GitHub and Airflow (very good to have – Python, Spark, R)
4. Experience with documentation and project management tools (Wiki, Jira, Gannt charts, and similar) as well as final result presentation (such as Powerpoint)",서울.한국,https://www.wanted.co.kr/wd/183352,"SQL
Data Analysis
Power BI
Tableau"
아템드메라키,"• 석사학위 및 박사학위 (박사과정 지원자) 우대
• 데이터 분석에 대한 경험이 있으신 분 우대",서울.한국,https://www.wanted.co.kr/wd/183023,"Azure
TypeScript
AWS
API
RDBMS
ORM
Nest.js
Restful API"
시프트업,"• 분산 학습 시스템을 개발한 경험
• 기계학습 분야에서 좋은 연구 트랙 레코드를 가지고 계신 분
• 박사 학위 자체는 중요하지 않고, 실제로 제품을 만들어 본 경험이 있는가가 중요
• 3년 이상 또는 그에 준하는 경력
• 명쾌하고 잦은 커뮤니케이션을 우선시 하는 분
• 항상 새로운 것을 배우려고 하는 분",서울.한국,https://www.wanted.co.kr/wd/182996,"Pytorch
Tensorflow
Python"
엠에스홀딩스,"• AI 또는 디지털을 활용한 검색, 기사 발굴, 작성 경험자
• 데이터사이언스, 경영정보학 전공자 또는 관련 실무 경험자
• 웹 스크레이핑, 크롤링 등 관련 실무(운영) 경험자",서울.한국,https://www.wanted.co.kr/wd/182955,"Git
React
HTML
JavaScript"
엠에스인포테크,"• AI 또는 디지털을 활용한 검색, 기사 발굴, 작성 경험자
• 데이터사이언스, 경영정보학 전공자 또는 관련 실무 경험자
• 웹 스크레이핑, 크롤링 등 관련 실무(운영) 경험자",서울.한국,https://www.wanted.co.kr/wd/182913,
보닥(아이지넷),"• 통계, 컴퓨터 공학, 데이터 과학 관련 학과를 전공하신 분
• 보험 관련 대용량 데이터 처리 및 모델링 경험이 있으신 분
• 머신러닝, 확률 모델링, 피쳐 엔지니어링에 능숙하신 분",서울.한국,https://www.wanted.co.kr/wd/182902,"Git
MySQL
Java
SQL
Spring Framework
JPA
Spring Boot"
인투와이즈,"• 반응형 디자인, 웹 접근성, 웹 표준을 고려한 UI 개발 경험이 있으신 분
• Webpack 사용 경험이 있으신 분
• MLOps Platform 개발 경험이 있으신 분
• 프론트엔드 Unit 테스트 및 UI 테스트 경험이 있으신 분

*사용기술
- 코어: HTML, CSS3, Javascript, Typescript, React, Next.js
- 패키지 매니저: npm, Yarn Berry
- 상태 관리: React Query, Recoil
- 스타일링: SCSS with CSS Module
- 빌드: Webpack, Babel",대전.한국,https://www.wanted.co.kr/wd/182867,
테크랩스,"• 수학/통계/컴퓨터공학 등 데이터분석 관련 전공하신 분
• 데이터마이닝, 머신러닝 등 고급 분석 수행 능력(R, Python)이 있으신 분
• 추천 서비스 기획 및 구현 실무 경험이 있으신 분
• BI 구축 프로젝트 및 CRM 컨설팅 프로젝트 참여 혹은 관리 경험이 있으신 분",서울.한국,https://www.wanted.co.kr/wd/182633,
엠에스투데이,"• AI 또는 디지털을 활용한 검색, 기사 발굴, 작성 경험자
• 데이터사이언스, 경영정보학 전공자 또는 관련 실무 경험자
• 웹 스크레이핑, 크롤링 등 관련 실무(운영) 경험자",서울.한국,https://www.wanted.co.kr/wd/182617,
엠에스투데이,"• AI 또는 디지털을 활용한 검색, 기사 발굴, 작성 경험자
• 데이터사이언스, 웹 스크레이핑, 크롤링 등 관련 실무(운영) 경험자
• 웹 스크레이핑, 크롤링 등 관련 실무(운영) 경험자",서울.한국,https://www.wanted.co.kr/wd/182615,
코인원(coinone),"• 가상자산 산업에 관심과 이해가 있는 분
• 데이터 적재 및 활용을 위한 프로세스 개선 및 프로젝트 수행 경험이 있는 분
• 대내외 다양한 조직과 유연하게 소통하고 적극적으로 협업하실 수 있는 분
• 금융 회사에서 데이터 조회와 보고서 작성 및 검증 업무 경험이 있는 분
• BigQuery, Mysql, dbt, Jupyter Notebook 사용 경험이 있는 분

---------------------------------------------------------------------------------------",서울.한국,https://www.wanted.co.kr/wd/182506,"MySQL
Python"
에프앤가이드,"ㆍ금융자격증(투자자산운용사, CFA) 보유하신 분
ㆍ금융업무 경험자로서 전산능력(SQL, Python, R)을 갖추신 분
ㆍ개발 관련 전공자 중 금융지식(수업 수강 이력, 자격증 보유 등)을 보유하신 분",서울.한국,https://www.wanted.co.kr/wd/182407,React
하렉스인포텍,"• 추천 엔진 개발 유경험자
• Transformer 기반 딥러닝 개발 유경험자
• 원활한 소통 및 협업 능력",서울.한국,https://www.wanted.co.kr/wd/182404,
카테노이드,"• Spark, Kafka, Airflow 등 빅데이터 솔루션 경험 우대
• AI 관련 경험 우대",서울.한국,https://www.wanted.co.kr/wd/182362,
콘센트릭스서비스코리아CATALYST,"- 버전 관리 툴(예: Git)의 사용 경험
- Tabular 데이터 예측 경험 우대
- 온라인 광고 운영 및 집행에 대한 도메인 지식
- Container 및 Container Orchestration에 대한 실무 경험 혹은 지식 
 
  (광고 운영 및 디지털 마케팅 도메인 지식 보유자를 우대하지만
   필수는 아닙니다. *석사 신입인 경우에는 통계/수학/산업공학/
   경제/금융공학/데이터사이언스 등 퀀트 기반 학위 우대합니다.)",서울.한국,https://www.wanted.co.kr/wd/182293,"Azure
Pytorch
Scikit-Learn
Tensorflow
AWS
GCP"
씨에스쉐어링,"- 피그마 사용 가능자
- UI/UX 설계 유경험자
- 시스템운영 유경험자
- 부트캠프 수료자",서울.한국,https://www.wanted.co.kr/wd/182235,
올릿,"• D2C 커머스에서 Data 수집 및 분석 경험이 있으신 분
• 주요 지표 개선을 위한 가설을 세우고, 테스트하여 직접 개선해 본 경험이 있으신 분
• Funnel, Cohort, LTV 등 Data 분석 방법론에 높은 이해도와 관심을 보유하신 분",서울.한국,https://www.wanted.co.kr/wd/182124,"HTML
CSS 자바 스크립트"
미투온,"• 게임 DB 개발 경험 있으신 분
• 상용 게임 오픈 경력 있으신 분
• MongoDB 개발 경험 있으신 분
• Redis 사용 경험 있으신 분
• 이공계열 전공자 우대",서울.한국,https://www.wanted.co.kr/wd/182075,"데이터베이스
C++
Windows 서버
STL
MSSQL"
무신사,"• 데이터 가공, 분석, 모델링, 서비스 구현까지의 전체 ML 프로세스 경험이 있으신 분 
• 커머스 도메인에서 추천 모델을 개발/운영해 보신 분
• 실험을 통해 모델 개선과 비즈니스 성과를 이끌어낸 경험이 있는 분",서울.한국,https://www.wanted.co.kr/wd/181975,"SAP
Android
iOS
MySQL
React
Java
JavaScript
Kotlin
Python
AWS
Product Management 
Spring Framework
GCP
SAP SD
SAP MM
SAP FI"
무신사,"• 커머스 도메인에서 모델링/엔지니어링 업무를 진행해 보신 분
• ML 모델을 실서비스에 적용하고 운영해보신 분
• AWS 등 클라우드 환경에서 개발 경험이 있으신 분",서울.한국,https://www.wanted.co.kr/wd/181974,"SAP
Android
iOS
MySQL
React
Java
JavaScript
Kotlin
Python
AWS
Product Management 
Spring Framework
GCP
SAP SD
SAP MM
SAP FI"
무신사,"• 데이터 가공, 분석, 모델링, 서비스 구현까지의 전체 ML 프로세스 경험이 있으신 분 
• 커머스 도메인에서 검색 모델을 개발/운영해 보신 분
• 실험을 통해 모델 개선과 비즈니스 성과를 이끌어낸 경험이 있는 분",서울.한국,https://www.wanted.co.kr/wd/181973,"SAP
Android
iOS
MySQL
React
Java
JavaScript
Kotlin
Python
AWS
Product Management 
Spring Framework
GCP
SAP SD
SAP MM
SAP FI"
로민,"• 풀스택 개발 경험을 보유하신 분
• 디자인, 기획, 사업개발, 마케팅 등의 다양한 부서와의 협업을 경험하신 분
• AI 관련 서비스, 클라우드 서비스, RPA 관련 개발 경험을 보유하신 분
• 급격히 성장하는 스타트업 환경에서 업무한 경험이 있으신 분
• 다양한 개발 도구, DevOps 기술에 대한 이해도가 높으신 분
• 논리적이고 체계적인 접근으로 문제를 정의하고 주도적으로 해결할 수 있는 분
• 다양한 고객과의 커뮤니케이션을 통해 제품의 발전과 조직의 성장에 기여할 수 있는 분
• 비즈니스와 기술의 중간에서 기대와 목적을 조율하며 일해본 경험이 있는 분",서울.한국,https://www.wanted.co.kr/wd/181815,"Git
Github
Python
Docker
PostgreSQL"
로민,"• ETL / 데이터 관련 인프라 구축 경험
• 리눅스 개발 환경과 Git, Docker 등 기본적인 개발 도구 사용이 익숙한 분이면 좋습니다.
• SW 개발 실무 경험
• 머신러닝 관련 프로젝트 경험",서울.한국,https://www.wanted.co.kr/wd/181814,"Git
Github
Python
Docker
PostgreSQL"
카카오헬스케어,"• RWE 프로젝트 또는 다기관 연구 수행 경험이 있으신 분
• 병원 EMR 시스템 및 의료 데이터 구조를 잘 이해하고 있으신 분
• 분석 결과에 대한 시각화 및 문서화 작업이 능숙하신 분
• 대내외 커뮤니케이션이 원활하고 조직과 융화를 잘 이룰 수 있으신 분
• RWE 연구, 헬스케어 분야 영어 커뮤니케이션에 어려움이 없으신 분
• 의료데이터 플랫폼(EMR, CDW 등) 분석 서비스 및 BM에 이해가 높으신 분",경기.한국,https://www.wanted.co.kr/wd/181509,"React
VueJS
TypeScript
HTML5
CSS3
Angular"
카카오헬스케어,"• 병원 EMR 시스템 및 의료 데이터 구조를 잘 이해하고 있으신 분
• 분석 결과에 대한 문서화 작업이 능숙하신 분
• RWE 분석 서비스 제공을 위한 주요 지표 및 성과에 대한 지식을 보유하신 분
• 대내외 커뮤니케이션이 원활하고 조직과 융화를 잘 이룰 수 있으신 분
• RWE 연구, 헬스케어 분야 영어 커뮤니케이션에 어려움이 없으신 분
• 의료데이터 플랫폼(EMR, CDW 등) 분석 서비스 및 BM에 이해가 높으신 분
• 임상 SOP 구축 경험이 있거나 이해도가 높으신분",경기.한국,https://www.wanted.co.kr/wd/181505,"React
VueJS
TypeScript
HTML5
CSS3
Angular"
펀진,"• C++ 프로그래밍 언어 활용 능력 보유자
• Inference engine 경험자(TensorRT, ONNX 등)
• 석사 우대",서울.한국,https://www.wanted.co.kr/wd/181253,"Git
MySQL
Java
Jenkins
Spring Framework
JPA"
넛지헬스케어(캐시워크),"• AWS(DynamoDB, EC2, RDS), GCP(BigQuery), Google Analytics 사용 경험이 있으신 분",서울.한국,https://www.wanted.co.kr/wd/180914,
에이아이에이생명(AIA생명),"• 건강보험료 개인 부담분 회사 지원
• 자녀 학자금 제공 (유치원부터 제공)
• 체력단련비 및 Refresh휴가 
- 기타 경쟁력 있는 복리후생 제공",서울.한국,https://www.wanted.co.kr/wd/180868,
케이티알파(kt alpha),"• 종합쇼핑몰, 오픈마켓 서비스 개발 경험을 보유하신 분
• 생산성 관리 툴(JIRA, Confluence 등) 사용이 능숙하신 분
• 데이터 분석을 통한 개선 과제를 발굴하고 이를 효과적으로 수행하실 수 있으신 분 
• 프로젝트에 대한 로드맵 수립 및 일정, 목표관리에 능숙하신 분",서울.한국,https://www.wanted.co.kr/wd/180838,"Oracle
Java"
콜랩코리아,"• 데이터 시각화 경험 있으신 분 
• Google Cloud Infrastructure 및 Google Apps Script 활용 가능자
• AWS 활용 가능자
• 타인이 작성한 코드 분석 및 업데이트 경험 있으신 분
• 새로운 기술 습득 후 현 업무에 적용할 수 있는 오픈 마인드
• 디지털 플랫폼 (유튜브, 페이스북, 인스타그램, 틱톡 등)에 대한 이해가 높으신 분
• 빠르고 유동적이며 협업을 요하는 환경에 익숙한 분
• 해외 지사와 협업 및 보고 과정에서 비즈니스 영어 구사 가능",서울.한국,https://www.wanted.co.kr/wd/180746,"Google Cloud Platform
MySQL
Python
SQL
AWS"
포티투닷(42dot),"• 데이터셋 구축 및 PM 업무 경험
• 자율주행 기술에 대한 경험 또는 이해도 
• 역할에 선을 긋지 않고 문제를 해결하려는 적극성 
• 자율주행, machine learning, deep Learning 기술에 대한 기초 지식",서울.한국,https://www.wanted.co.kr/wd/180662,"Azure
Java
Python
Scala
AWS
Docker
GCP
Kubernetes"
콴텍투자일임,"• 금융권 (증권사, 자산운용사 출신) 경험자 
• 수학 전공자 / 거시경제 전공 석사 이상 
• 계량경제학 석사 / 금융(재무) 전공 석사 이상
• 기업 재무 또는 에셋 프라이싱 분야에서 졸업논문 또는 연구실적",서울.한국,https://www.wanted.co.kr/wd/180647,"Git
Android
iOS
Linux
MySQL
Oracle
React
Kotlin
Python
Shell
Swift
C
C++
UNIX
RDBMS
iOS 개발
Spa
NumPy
React Native
Redux
Restful API"
알티엠,"• 개념 및 고려 사항을 전달할 수 있는 의사소통 능력
• 정보 및 분석 결과를 효과적으로 전달하기 위한 자료 작성 능력",서울.한국,https://www.wanted.co.kr/wd/180586,"Git
Linux
Pytorch
Python"
소프트베리,"- 통계학, 산업공학, 응용수학 및 Machine Learning, Deep Learning 관련 분야 석사 학위 보유자 또 는 해당 분야 전공자
- 다양한 배경의 사람들과 데이터 분석 결과를 바탕으로 커뮤니케이션 할 수 있는 능력
- 전기차와 전기차 인프라에 대한 높은 이해
- 모빌리티 데이터 분석 경험자
- 개발팀과의 협업을 통해 모델을 프로덕트화한 경험
- git(GitHub)을 이용한 코드 버전관리 경험",서울.한국,https://www.wanted.co.kr/wd/180389,"Android
iOS
JavaScript
Node.js
PHP
Swift
TypeScript
Data Analysis
AWS
Datastage
Data Guard"
플랜잇헬스케어,"- 영어 / 일어 가능하신 분
- 의료IT 관련 전공자
- 병원 의료정보시스템  또는 CDW 개발/운영 경험",서울.한국,https://www.wanted.co.kr/wd/180362,
아이트럭,"• 통계학적 지식이 있으신 분
• 다양한 UI 개발 경험과 사용자 경험에 대해 충분한 이해도를 보유하신 분
• 논리적이고 체계적인 문제해결 능력이 있으신 분
• 효과적인 의사전달 및 협업 능력이 있으신 분",서울.한국,https://www.wanted.co.kr/wd/180338,"Github
React
Scikit-Learn
Python
AWS
NumPy"
아이트럭,"• 통계학적 지식이 있으신 분
• 다양한 UI 개발 경험과 사용자 경험에 대해 충분한 이해도를 보유하신 분
• 논리적이고 체계적인 문제해결 능력이 있으신 분
• 효과적인 의사전달 및 협업 능력이 있으신 분",서울.한국,https://www.wanted.co.kr/wd/180333,"Github
React
Scikit-Learn
Python
AWS
NumPy"
로보코리아(LOVO Korea),"• 데이터셋 수집 및 관리 경험이 있으신 분
• 대규모 데이터 수집을 위한 파이프라인을 구축/운영/관리 해보신 경험이 있으신 분
• 데이터 엔지니어링 경험이 있으신 분
• 음성 데이터 처리 경험이 있으신 분


[LOVO 팀으로 합류하는 과정]
• 서류 접수 - 직무 및 컬쳐핏 인터뷰 - 라이브 코딩 테스트 - 최종 합격
• 정규직 채용의 경우 3개월의 수습기간이 있습니다.

[이런 분을 선호합니다.]
• 솔직하신 분!
• 항상 자기계발에 진심이신 분!
• 본인 업무에 애착이 있고 잘해야만 하는 분!
• 놀 땐 놀고 일할 땐 일할 줄 아시는 분!
• 효율성과 프로세스를 고민하고 또 고민하시는 분!
• 자신의 성장을 위해 노력하시는 분!
• 매사에 주도적이고, 책임감이 강하신 분!",서울.한국,https://www.wanted.co.kr/wd/179984,"Pytorch
React
Tensorflow
HTML
JavaScript
Python
TypeScript
AWS"
프로보티브(Provotive),"• 관련 분야 석사 학위, 박사 학위 보유자.
• 생성형 이미지 모델에 대한 경험.
• 스타트업 근무 경험자.",서울.한국,https://www.wanted.co.kr/wd/179903,"Pytorch
Tensorflow
Java
Python
SQL
C++
3D"
퍼플아이오,"• 관련 주제로 석사학위 이상을 취득하신 분 
 • AI학회 관련 저널 게재 경험이 있는 분
 • 관련 업무(AI 리서치 연구원 등)를 경험한 분",서울.한국,https://www.wanted.co.kr/wd/179336,
비즈데이터,•SOL 사용 가능자,서울.한국,https://www.wanted.co.kr/wd/179332,"Python
SQL"
아이오크롭스,"- Python 언어를 능숙하게 사용할 수 있으신 분
- 기획부터 생산까지 로봇 개발의 전 과정을 경험해 보신 분
- 자율주행 로봇과 관련된 프로젝트 경험이 있으신 분
- 로봇 매니퓰레이터의 path planning 개발 경험이 있으신 분
- 정부 지원 과제 수행 경험이 있으신 분
- Ag-Tech에 대한 기본적인 이해나 관심이 있으신 분 (농업 관련 지식이 필수는 아니에요!)",서울.한국,https://www.wanted.co.kr/wd/179020,"Github
Pytorch
React
Tensorflow
Python
TypeScript
C++
SASS
ROS
Next.js"
티맵모빌리티,"• 수천 TPS 이상의 실시간 트래픽을 처리한 경험이 있으신 분
• 분산처리 환경에서 개발과 디버깅을 경험해보신 분
• AWS 사용이 능숙하고, AWS상의 시스템 구축 경험을 보유하신 분
• 시스템 모니터링 지표 획득 / 대시보딩 / alert 체계 구축 및 필요 지표 설계 경험이 있으신 분
• 네트워크, OS, 프로그램 동작 방식에 대한 기본기가 탄탄하신 분
• 오픈소스에 기여하거나 코드레벨에서 문제점을 찾아보신 분
• k8s 환경에서의 개발, 운영이 익숙하신 분
• 전반적인 운영 환경에서(Emr, airflow) 트러블 슈팅에 능숙하신 분
• 코드 품질 관리에 관심이 많으신 분",서울.한국,https://www.wanted.co.kr/wd/178983,"OpenGL
Java
AWS
RDBMS"
유클릭,"아래의 우대 사항은 담당 업무를 더 정확히 안내하기 위함입니다.
아래 서술되는 모든 자질과 경험을 갖추실 필요는 없으며, 말 그대로 '우대 사항'입니다.
• LLM을 활용한 프로젝트를 설계 또는 진행한 경험이 있으신 분
• ML Framework 중 1개 이상에 대한 높은 숙련도가 있으신 분",서울.한국,https://www.wanted.co.kr/wd/178607,
위메이드(WEMADE),"• 컴퓨터공학, 수학, 통계 관련 전공자
• 주도적으로 문제 찾고 해결하시는 분
• 항상 성장을 위해 고민하시는 분
• MongoDB, MySQL, Azure, Superset 경험 보유하신 분",경기.한국,https://www.wanted.co.kr/wd/178341,
