company,prefer,location,url,tool
모니모니,"[이런 분이라면 더 우대하고 있어요]
• MAU 100만 이상의 서비스를 경험해 보신 분
• Z세대 타겟 서비스 혹은 글로벌 서비스 유경험자
• 개발, 디자인(UX), 마케팅 등 다른 분야에 대한 경험이 있으신 분
• 콘텐츠 비즈니스에 대한 이해도가 높으신 분",서울.한국,https://www.wanted.co.kr/wd/183137,
비모소프트,"- 데이터 기반의 인사이트를 통해 서비스 지표 상승이나 문제 해결의 경험이 있으신 분
- 평소에 꼼꼼하게 계산하는 것을 좋아하시는 분
- 데이터 기반 인사이트를 누구나 이해할 수 있도록 쉽게 커뮤니케이션 할 수 있으신 분
- 데이터 관련 전공 (통계학/컴퓨터공학/산업공학 등) 혹은 데이터 관련 교육을 이수하신 분
- 데이터분석준전문가(ADsP), 빅데이터 분석기사 등 분석 관련 자격증 보유자
- 마케팅 지표(first open, retention, conversion rate)에 대한 이해도가 높으신 분",경기.한국,https://www.wanted.co.kr/wd/183068,"전략 기획
전략적 사고
전략 분석
서비스 프로세스"
콘센트릭스서비스코리아CATALYST,"- 엑셀, 파워포인트를 자유롭게 활용할 수 있는 분
- 적극적이고 능동적인 마인드 / 커뮤니케이션 스킬",서울.한국,https://www.wanted.co.kr/wd/182821,
넥슨코리아(NEXON),"• 중급 이상의 통계분석 능력(회귀/인과/생존분석 등)을 갖추신 분
• 실제 운영중인 서비스의 데이터 분석 및 ML 프로젝트 진행 경험이 있으신 분
• 넥슨 게임에 대한 이해도를 갖추신 분",경기.한국,https://www.wanted.co.kr/wd/182735,
비씨카드(BC카드),"• 데이터 상품 및 서비스 개발이 가능한 분을 우대해요. 
• 광고, 데이터 마케팅, 데이터 분석, 플랫폼 사업에 경험이 있으신 분을 우대해요. 
• 데이터 플랫폼 기획 및 운영 경험이 있으신 분을 우대해요. 
• 이종 산업간 데이터 분석 및 융합 경험이 있으신 분을 우대해요. 
• 빅데이터, 경제, 경영, 마케팅, 통계 등을 관련 전공자 또는 자격증을 보유하신 분을 선호해요.",서울.한국,https://www.wanted.co.kr/wd/182725,"Python
SAS
SQL
Tableau"
바운드포,"[이런 분이라면 더 좋습니다.]
-다양한 이해 관계자와 원활히 소통하고 문제 해결에 능숙하신 분
-자율적인 근무 체계에서 책임감 있게 일하는 환경을 선호하시는 분",서울.한국,https://www.wanted.co.kr/wd/182682,
아이스디에셋,"• 통계학 전공 또는 유관 자격증 보유자
• NFT 또는 Web3 관련 업계 종사 경력 보유자
• 데이터 분석 툴 활용 경험이 있으신 분
• 엑셀 숙련도 상
• 영어로 의사소통이 가능하신 분
• 시장 트렌드 및 기술 동향에 민감하고 깊은 이해도를 보유하신 분",서울.한국,https://www.wanted.co.kr/wd/182387,Excel
그립컴퍼니,"• 라이브커머스 분야에서의 경험
• 빅데이터분석기사, ADP, SQLP, DAP 등 관련 자격 소지자
• 대용량 데이터 처리 및 분석 경험 (예: Clickhouse, Big Data, DW, PySpark)

[전형절차]
• 서류전형
• 1차면접(과제 및 기술면접)
• 최종면접(Culture Fit)


*직무 및 직책에 따라 레퍼런스 조회가 진행될 수 있습니다.
*정규직의 경우, 3개월의 수습기간이 적용됩니다. 수습기간 평가에 따라 수습이 연장되거나 종료될 수 있습니다.",경기.한국,https://www.wanted.co.kr/wd/182310,
엘박스,"• 숫자 기반의 논리적 추론 결과를 바탕으로 사업과 기술 측면에서 효과적으로 소통할 수 있는 분
• Tableau, Redash 등의 툴을 활용해 대시보드를 구현해 본 경험이 있는 분
• 사업, 프로덕트 실무 부서에서 데이터 분석 결과를 기반으로 실질적인 성과를 만들어본 경험이 있는 분
• 서비스의 가격 설정을 포함하여 가격과 관련된 전반적인 정책과 전략을 수립한 경험이 있는 분
• 플랫폼 비즈니스(two-sided market place)에서의 경험이 있으신 분",서울.한국,https://www.wanted.co.kr/wd/182237,
위대한상상(요기요),"• 커머스 / 유통 / 물류 혹은 관련 산업에 대한 이해도가 깊은 분
• 유관부서와의 협업 및 커뮤니케이션 스킬과 문제해결 능력이 뛰어나신 분
• 분석 보고서 기획부터 분석결과 도출 및 보고까지 주도적으로 업무수행한 경험이 있으신 분",서울.한국,https://www.wanted.co.kr/wd/182220,"MySQL
Tableau"
넥슨코리아(NEXON),"• 유저 대상 실험 설계 및 결과 분석까지 전체 사이클의 경험을 보유하신 분
• 다양한 게임의 플레이 경험 또는 그에 준하는 게임 및 게임 유저에 대한 이해도가 있으신 분
• 유저 대상 서비스 운영 경험 또는 유저의 행동 데이터 분석 경험이 있으신 분",경기.한국,https://www.wanted.co.kr/wd/182096,
콘텐츠퍼스트(Tappytoon/태피툰),"• SQL, Python 상급 혹은 통계학을 전공하신 분
• 웹툰을 좋아하고 즐겨 읽으시는 분
• 영어, 프랑스어, 독일어 등 외국어 활용이 가능하신 분",서울.한국,https://www.wanted.co.kr/wd/181986,
컴투스홀딩스,"1. 기존에 팀 또는 파트를 리딩한 경험이 있다면 더 좋습니다.
2. BI 시스템을 설계 또는 운영하셨던 경험이 있다면 더 좋습니다. 
3. AI/빅데이터공학, 응용수학, 통계학, 컴퓨터 공학 중 하나를 전공 하셨으면 더 좋습니다.",서울.한국,https://www.wanted.co.kr/wd/181909,"Python
SQL
데이터 분석
ETL"
메이데이파트너스,"• 개발 언어 및 구조, 환경 등에 대한 이해도가 높은 분
• 서비스 기획 및 제안서를 작업해본 경험이 있는 분
• 새로운 제품 / 솔루션 제안 및 스펙 정의가 가능한 분",서울.한국,https://www.wanted.co.kr/wd/181684,"JIRA
Figma
Notion"
비바리퍼블리카(토스),"[이력서는 이렇게 작성하시는 걸 추천해요]
• 데이터 분석, 모니터링 Tool을 사용해보신 경험이 있는지 확인하고 있어요.
• 데이터 분석 결과를 통해 업무 효율을 높이거나, 프로세스를 개선한 사례가 있다면 구체적으로 작성해 주세요.
• 업무 협업을 위한 원활한 커뮤니케이션 능력과 우선순위에 따라 효율적으로 업무 수행 해본 경험을 작성해주시면 좋아요.",서울.한국,https://www.wanted.co.kr/wd/181619,"SQL
Data Analysis
Tableau
데이터 분석"
비바리퍼블리카(토스),"[이력서는 이렇게 작성하시는 걸 추천해요]
• 업무 협업을 위한 원활한 커뮤니케이션 능력과 우선순위에 따라 효율적으로 업무 수행해 본 경험을 작성해주시면 좋아요.
• 데이터 분석을 통해 개선 방향과 요건을 정의하고 주도적으로 전략 기획 및 실행을 해본 경험을 구체적으로 기술해주세요.",서울.한국,https://www.wanted.co.kr/wd/181615,"SQL
Data Analysis
Tableau
데이터 분석"
